Zip Code,City,County,Population â
14527,Penn Yan,Yates County,12870
10514,Chappaqua,Westchester County,12867
13421,Oneida,Madison County,12857
12586,Walden,Orange County,12802
13207,Syracuse,Onondaga County,12784
14622,Rochester,Monroe County,12770
13066,Fayetteville,Onondaga County,12752
14586,West Henrietta,Monroe County,12720
11764,Miller Place,Suffolk County,12711
10520,Croton On Hudson,Westchester County,12662
14201,Buffalo,Erie County,12623
14411,Albion,Orleans County,12608
12095,Johnstown,Fulton County,12586
11576,Roslyn,Nassau County,12506
11778,Rocky Point,Suffolk County,12496
14519,Ontario,Wayne County,12480
14608,Rochester,Monroe County,12470
12701,Monticello,Sullivan County,12448
14843,Hornell,Steuben County,12418
12566,Pine Bush,Ulster County,12407
11577,Roslyn Heights,Nassau County,12399
10927,Haverstraw,Rockland County,12286
11755,Lake Grove,Suffolk County,12227
10918,Chester,Orange County,12152
14301,Niagara Falls,Niagara County,12151
13617,Canton,St. Lawrence County,12124
11545,Glen Head,Nassau County,12068
13041,Clay,Onondaga County,11902
10044,New York,New York County,11846
14208,Buffalo,Erie County,11820
10604,West Harrison,Westchester County,11799
13827,Owego,Tioga County,11770
14004,Alden,Erie County,11658
12188,Waterford,Saratoga County,11615
10970,Pomona,Rockland County,11571
10522,Dobbs Ferry,Westchester County,11508
14810,Bath,Steuben County,11484
11766,Mount Sinai,Suffolk County,11476
13492,Whitesboro,Oneida County,11395
14605,Rochester,Monroe County,11348
10474,Bronx,Bronx County,11280
10601,White Plains,Westchester County,11193
13323,Clinton,Oneida County,11151
14454,Geneseo,Livingston County,11058
11740,Greenlawn,Suffolk County,11010
13078,Jamesville,Onondaga County,10867
13148,Seneca Falls,Seneca County,10854
14219,Buffalo,Erie County,10854
10536,Katonah,Westchester County,10797
14103,Medina,Orleans County,10783
12549,Montgomery,Orange County,10635
13619,Carthage,Jefferson County,10625
14032,Clarence Center,Erie County,10572
10553,Mount Vernon,Westchester County,10526
14092,Lewiston,Niagara County,10522
11596,Williston Park,Nassau County,10520
14625,Rochester,Monroe County,10445
10510,Briarcliff Manor,Westchester County,10435
